Customer,Name,Current,1 To 31,31 To 61,61 To 92,Over 92,Balance
C000308,Bidvest Paperplus (Pty) Ltd T/A Lithotech Cape - Factory,6323.85,0.0,0.0,0.0,0.0,6323.85
C000309,Bidvest Paperplus (Pty) Ltd T/A Lithotech,6323.85,0.0,0.0,0.0,0.0,6323.85
C000332,The National Council For Persons With Physical Disabilities,6323.85,0.0,0.0,0.0,0.0,6323.85
C006610,SIRAHA GROUP (PTY) LTD.,6323.85,0.0,0.0,0.0,0.0,6323.85
C006779,MPH SOLUTIONS (PTY) LTD,6323.85,0.0,0.0,0.0,0.0,6323.85
C000410,SportPesa (Pty) Ltd,6226.1,0.0,0.0,0.0,0.0,6226.1
C000057,RightClickFix (Pty) Ltd,0.0,0.0,0.0,6208.85,0.0,6208.85
C005033,PAYTEQ (PTY) LTD,6208.85,0.0,0.0,0.0,0.0,6208.85
ACU001,Acumen Capital (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C000066,Samsung SDS Global SCL South Africa (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C000071,Franklin Templeton Investments SA (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C000084,Siegwerk South Africa (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C000094,Tank Manufacturers (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C000136,Trelleborg South Africa (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C000196,Municipal Councillors Pension Fund,6093.85,0.0,0.0,0.0,0.0,6093.85
C000217,Shopware (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C000252,Projects Concern Manufacturing (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C000264,KTM Motorcycles SA (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C000315,V M E GROUP (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C000552,Electric Assemblies (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C000686,ARQ Consulting Engineers (Pty) Ltd t/a ARQ,6093.85,0.0,0.0,0.0,0.0,6093.85
C000749,Inmins Trading (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C000797,Anderson Transport (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
C005166,NAUTILUS CHEMICALS (PTY) LTD,6093.85,0.0,0.0,0.0,0.0,6093.85
C005174,NORTH STAR CLEARING & FORWARDING CC T/A NORTH STAR,6093.85,0.0,0.0,0.0,0.0,6093.85
C005344,KINTETSU WORLD EXPRESS SOUTH AFRICA,6093.85,0.0,0.0,0.0,0.0,6093.85
C005979,SAFIC (PTY) LTD,6093.85,0.0,0.0,0.0,0.0,6093.85
C005998,Pillar Props 15 (Pty) Ltd t/a Re/max Property Associates,6093.85,0.0,0.0,0.0,0.0,6093.85
C006484,ORANGE ONE CONSULTING (PTY) LTD,6093.85,0.0,0.0,0.0,0.0,6093.85
ELE001,ELEMENTAL ANALYTICS (PTY) LTD,6093.85,0.0,0.0,0.0,0.0,6093.85
MAC001,Macromed (Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
RMD001,KIT FORMWORK and Scaffolding(Pty) Ltd,6093.85,0.0,0.0,0.0,0.0,6093.85
UZU001,Uzumi Investments CC T/A Milmac Produce Supply,6093.85,0.0,0.0,0.0,0.0,6093.85
DEL001,Deloitte & Touche,6023.7,0.0,0.0,0.0,0.0,6023.7
PSA021,CWA,0.0,0.0,0.0,0.0,5996.99,5996.99
C000623,Rand Preparatory and College,5980.0,0.0,0.0,0.0,0.0,5980.0
KZ007161,Wavelengths 1077 (Pty) LTD,2586.47,2586.47,667.47,0.0,0.0,5840.41
C000236,AVOCATUR CC,5836.35,0.0,0.0,0.0,0.0,5836.35
C001146,Wealth Associates Bespoke Solutions (Pty) Ltd,5748.85,0.0,0.0,0.0,0.0,5748.85
IRV001,Irvines Africa Poultry (Pty) Ltd,5748.85,0.0,0.0,0.0,0.0,5748.85
C000186,Pilatus PC12 Centre Southern Africa (Pty) Ltd,5701.85,0.0,0.0,0.0,0.0,5701.85
C006082,UBUNTU TECH SOLUTIONS (PTY) LTD T/A UKUKULA CONSULTING,5685.6,0.0,0.0,0.0,0.0,5685.6
C005089,HELIOS TOWERS SOUTH AFRICA SERVICES (PTY) LTD,0.0,5633.85,0.0,0.0,0.0,5633.85
C006067,DELTA FIREARMS (PTY) LTD,5633.85,0.0,0.0,0.0,0.0,5633.85
C006084,CHURCH OF SCIENTOLOGY PRETORIA,5633.85,0.0,0.0,0.0,0.0,5633.85
C005726,DIRECT PRECISION MANAGEMENT SERVICES T/A DPMS,2765.98,2765.98,63.92,0.0,0.0,5595.88
C004058,WHITFIELD PROPERTY MANAGEMENT,5576.35,0.0,0.0,0.0,0.0,5576.35
C006000,PAYFLEX (PTY) LTD,5576.35,0.0,0.0,0.0,0.0,5576.35
C006664,ISOLV TECHNOLOGIES (PTY) LTD,2760.0,2760.0,0.0,0.0,0.0,5520.0
C005554,RICH SCHEME TRADE CC T/A ISABELINA,5518.85,0.0,0.0,0.0,0.0,5518.85
C001220,IT DYNAMICS (PTY) LTD,5484.47,0.0,0.0,0.0,0.0,5484.47
C005202,APEX MANAGEMENT SERVICES PTY LTD,5461.35,0.0,0.0,0.0,0.0,5461.35
AIR005,Airtelecom CC,2835.9,2835.9,0.0,0.0,249.55,5422.25
C000052,Ultralloy (Pty) Ltd,5403.85,0.0,0.0,0.0,0.0,5403.85
C006556,MINEL UJANTSHI (PTY) LTD,5403.85,0.0,0.0,0.0,0.0,5403.85
THE005,The Dr Stanley Lipschitz Clinic Inc,5403.85,0.0,0.0,0.0,0.0,5403.85
C006111,ATYPICAL (PTY) LTD,5375.1,0.0,0.0,0.0,0.0,5375.1
C000493,Layer3 Telecom (Pty) Ltd,5298.63,0.0,0.0,0.0,0.0,5298.63
COM010,Comsol Networks (PTY) Ltd,5249.75,0.0,0.0,0.0,0.0,5249.75
C006488,TECHMARKIT (PTY) LTD,5241.7,0.0,0.0,0.0,0.0,5241.7
C000014,Gilbarco AFS,5175.0,0.0,0.0,0.0,0.0,5175.0
C000027,Colliers International Johannesburg,5173.85,0.0,0.0,0.0,0.0,5173.85
C000598,Beechcross Properties (Pty) Ltd,5173.85,0.0,0.0,0.0,0.0,5173.85
C000734,Farquharson Projects (Pty) Ltd,5173.85,0.0,0.0,0.0,0.0,5173.85
C000775,UKHESHE TECHNOLOGIES (PTY) LTD,5173.85,0.0,0.0,0.0,0.0,5173.85
C000852,Paym8 (Pty) Ltd,5173.85,0.0,0.0,0.0,0.0,5173.85
C005989,SHAVE INDUSTRIALS (PTY) LTD,5173.85,0.0,0.0,0.0,0.0,5173.85
C006549,MILPARK EDUCATION (PTY) LTD,5173.85,0.0,0.0,0.0,0.0,5173.85
